symbol,name,series
COHANCE,Cohance Lifesciences Limited,EQ
COLPAL,Colgate Palmolive (India) Limited,EQ
COMFINTE,Comfort Intech Limited,EQ
COMPEAU,Competent Automobiles Company Limited,EQ
COMPUSOFT,Compucom Software Limited,EQ
COMSYN,Commercial Syn Bags Limited,EQ
CONCOR,Container Corporation of India Limited,EQ
CONCORDBIO,Concord Biotech Limited,EQ
CONFIPET,Confidence Petroleum India Limited,EQ
CONTROLPR,Control Print Limited,EQ
CORALFINAC,Coral India Finance & Housing Limited,EQ
CORDELIA,Waterways Leisure Tourism Limited,EQ
CORDSCABLE,Cords Cable Industries Limited,EQ
COROMANDEL,Coromandel International Limited,EQ
CORONA,CORONA Remedies Limited,EQ
COSMOFIRST,COSMO FIRST LIMITED,EQ
CPCAP,CP Capital Limited,EQ
CPEDU,Career Point Edutech Limited,EQ
CPL,Captain Polyplast Limited,EQ
CPPLUS,Aditya Infotech Limited,EQ
CRAFTSMAN,Craftsman Automation Limited,EQ
CRAMC,Canara Robeco Asset Management Company Limited,EQ
CRAVATEX,Cravatex Limited,EQ
CREATIVEYE,Creative Eye Limited,EQ
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ
CREST,Crest Ventures Limited,EQ
CRESTO,CRESTO TECHNO LIMITED,EQ
CRISIL,Crisil Limited,EQ
CRIZAC,Crizac Limited,EQ
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ
CROWN,Crown Lifters Limited,EQ
CSBBANK,CSB Bank Limited,EQ
CSLFINANCE,CSL Finance Limited,EQ
CSM,CSM Technologies Limited,EQ
CUB,City Union Bank Limited,EQ
CUBEXTUB,Cubex Tubings Limited,EQ
CUMMINSIND,Cummins India Limited,EQ
CUPID,Cupid Limited,EQ
CYIENT,Cyient Limited,EQ
CYIENTDLM,Cyient DLM Limited,EQ
DABUR,Dabur India Limited,EQ
DALBHARAT,Dalmia Bharat Limited,EQ
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ
DAMCAPITAL,Dam Capital Advisors Limited,EQ
DANGEE,Dangee Dums Limited,EQ
DATAMATICS,Datamatics Global Services Limited,EQ
DATAPATTNS,Data Patterns (India) Limited,EQ
DAVANGERE,Davangere Sugar Company Limited,EQ
DBCORP,D.B.Corp Limited,EQ
DBEIL,Deepak Builders & Engineers India Limited,EQ
DBL,Dilip Buildcon Limited,EQ
DBOL,Dhampur Bio Organics Limited,EQ
DBREALTY,Valor Estate Limited,EQ
DCAL,Dishman Carbogen Amcis Limited,EQ
DCBBANK,DCB Bank Limited,EQ
DCI,Dc Infotech And Communication Limited,EQ
DCM,DCM  Limited,EQ
DCMFINSERV,DCM Financial Services Limited,EQ
DCMNVL,DCM Nouvelle Limited,EQ
DCMSHRIRAM,DCM Shriram Limited,EQ
DCMSIL,DCM Shriram International Limited,EQ
DCMSRIND,DCM Shriram Industries Limited,EQ
DCW,DCW Limited,EQ
DCXINDIA,DCX Systems Limited,EQ
DDEVPLSTIK,Ddev Plastiks Industries Limited,EQ
DECCANCE,Deccan Cements Limited,EQ
DECNGOLD,Deccan Gold Mines Limited,EQ
DEEDEV,DEE Development Engineers Limited,EQ
DEEPA,Deepa Jewellers Limited,EQ
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ
DEEPAKNTR,Deepak Nitrite Limited,EQ
DEEPINDS,Deep Industries Limited,EQ
DELHIVERY,Delhivery Limited,EQ
DELTACORP,Delta Corp Limited,EQ
DELTAMAGNT,Delta Manufacturing Limited,EQ
DEN,Den Networks Limited,EQ
DENORA,De Nora India Limited,EQ
DENTA,Denta Water and Infra Solutions Limited,EQ
DEVIT,Dev Information Technology Limited,EQ
DEVX,Dev Accelerator Limited,EQ
DEVYANI,Devyani International Limited,EQ
DGCONTENT,Digicontent Limited,EQ
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ
DHANBANK,Dhanlaxmi Bank Limited,EQ
DHANUKA,Dhanuka Agritech Limited,EQ
DHARMAJ,Dharmaj Crop Guard Limited,EQ
DHATRE,Dhatre Udyog Limited,EQ
DHOOTTRANS,Dhoot Transmission Limited,EQ
DHRUV,Dhruv Consultancy Services Limited,EQ
DHUNINV,Dhunseri Investments Limited,EQ
DIAMINESQ,Diamines & Chemicals Limited,EQ
DIAMONDYD,Prataap Snacks Limited,EQ
DICIND,DIC India Limited,EQ
DIFFNKG,Diffusion Engineers Limited,EQ
DIGIDRIVE,Digidrive Distributors Limited,EQ
DIGISPICE,DiGiSPICE Technologies Limited,EQ
DIGITIDE,Digitide Solutions Limited,EQ
DISAQ,Disa India Limited,EQ
DISHTV,Dish TV India Limited,EQ
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ
DIVISLAB,Divi's Laboratories Limited,EQ
DIXON,Dixon Technologies (India) Limited,EQ
DJML,DJ Mediaprint & Logistics Limited,EQ
DLF,DLF Limited,EQ
DLINKINDIA,D-Link (India) Limited,EQ
DMART,Avenue Supermarts Limited,EQ
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ
DNAMEDIA,Diligent Media Corporation Limited,EQ
DODLA,Dodla Dairy Limited,EQ
DOLATALGO,Dolat Algotech Limited,EQ
DOLLAR,Dollar Industries Limited,EQ
